['Time':2016-10-30 00:40:21,'Commit:'onlineDuration]{1631}
['Time':2016-10-30 00:42:46,'Commit:'onlineDuration]{91}
['Time':2016-10-30 00:44:28,'Commit:'onlineDuration]{45.5}
['Time':2016-10-30 00:44:55,'Commit:'onlineDuration]{0}
['Time':2016-10-30 00:45:17,'Commit:'onlineDuration]{0}
['Time':2016-10-30 00:55:29,'Commit:'onlineDuration]{455}
['Time':2016-10-30 01:09:33,'Commit:'onlineDuration]{770}
['Time':2016-10-30 01:09:47,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:09:53,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:10:11,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:10:24,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:10:44,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:11:18,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:12:08,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:13:55,'Commit:'onlineDuration]{42}
['Time':2016-10-30 01:14:31,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:15:10,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:15:57,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:18:52,'Commit:'onlineDuration]{84}
['Time':2016-10-30 01:26:25,'Commit:'onlineDuration]{294}
['Time':2016-10-30 01:26:38,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:27:18,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:27:32,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:27:41,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:28:06,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:28:49,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:40:41,'Commit:'onlineDuration]{462}
['Time':2016-10-30 01:42:23,'Commit:'onlineDuration]{42}
['Time':2016-10-30 01:44:27,'Commit:'onlineDuration]{84}
['Time':2016-10-30 01:45:06,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:46:17,'Commit:'onlineDuration]{42}
['Time':2016-10-30 01:46:54,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:47:13,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:47:25,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:47:32,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:49:44,'Commit:'onlineDuration]{84}
['Time':2016-10-30 01:49:47,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:52:24,'Commit:'onlineDuration]{84}
['Time':2016-10-30 01:53:23,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:53:40,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:53:50,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:54:31,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:54:46,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:55:19,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:56:05,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:56:45,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:57:48,'Commit:'onlineDuration]{42}
['Time':2016-10-30 01:58:00,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:58:16,'Commit:'onlineDuration]{0}
['Time':2016-10-30 01:58:29,'Commit:'onlineDuration]{0}
['Time':2016-10-30 02:03:03,'Commit:'onlineDuration]{182}
['Time':2016-10-30 02:03:14,'Commit:'onlineDuration]{0}
['Time':2016-10-30 02:04:22,'Commit:'onlineDuration]{35}
['Time':2016-10-30 02:04:53,'Commit:'onlineDuration]{0}
['Time':2016-10-30 10:06:48,'Commit:'onlineDuration]{385}
['Time':2016-10-30 10:06:58,'Commit:'onlineDuration]{0}
['Time':2016-10-30 10:07:13,'Commit:'onlineDuration]{0}
['Time':2016-10-30 10:08:43,'Commit:'onlineDuration]{35}
['Time':2016-10-30 10:08:53,'Commit:'onlineDuration]{0}
['Time':2016-10-30 10:09:13,'Commit:'onlineDuration]{0}
['Time':2016-10-30 10:32:15,'Commit:'onlineDuration]{805}
['Time':2016-10-30 10:33:17,'Commit:'onlineDuration]{35}
['Time':2016-10-30 11:12:50,'Commit:'onlineDuration]{2548}
['Time':2016-10-30 11:19:34,'Commit:'onlineDuration]{252}
['Time':2016-10-30 11:19:46,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:19:57,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:20:39,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:21:03,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:21:15,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:21:24,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:21:33,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:21:44,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:21:51,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:22:30,'Commit:'onlineDuration]{0}
