[2016-05-17 10:29:29]浏览[login_action.php]，备注内容为：【登陆成功，用户登录的ip是127.0.0.1】
[2016-05-20 15:55:46]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 15:55:48]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-20 15:55:52]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 15:55:53]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-20 15:55:56]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 15:56:01]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-20 15:56:04]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 15:56:06]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-20 15:56:44]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 15:56:53]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-20 15:56:58]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 15:57:15]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-20 15:57:17]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 16:34:39]浏览[login_action.php]，备注内容为：【登陆成功，用户登录的ip是127.0.0.1】
[2016-05-20 19:12:08]浏览[login_action.php]，备注内容为：【登陆成功，用户登录的ip是127.0.0.1】
[2016-05-20 20:01:32]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 20:01:33]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-20 20:24:09]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 22:09:48]浏览[login_action.php]，备注内容为：【登陆成功，用户登录的ip是127.0.0.1】
[2016-05-20 22:10:02]浏览[login_action.php]，备注内容为：【登陆成功，用户登录的ip是127.0.0.1】
[2016-05-20 22:10:16]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-20 22:10:21]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-20 22:48:52]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-21 09:01:03]浏览[login_action.php]，备注内容为：【登陆成功，用户登录的ip是127.0.0.1】
[2016-05-21 09:26:06]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-21 23:27:48]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 19:54:42]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 19:54:48]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 19:54:51]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:02:10]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:03:14]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:03:16]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:17:36]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:17:38]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:20:30]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:20:32]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:22:28]浏览[queue_action.php]，备注内容为：【停止开放组队】
[2016-05-23 20:22:29]浏览[queue_action.php]，备注内容为：【开放组队成功】
[2016-05-23 20:22:31]浏览[queue_action.php]，备注内容为：【停止开放组队】
